edificio,ejecucion,nivel,tipo_elemento,seccion,elemento_id_plano,elementTag_FE,nodo_i,nodo_j,u_i_m,v_i_m,z_i_m,u_j_m,v_j_m,z_j_m,N_i_kN,Vy_i_kN,Vz_i_kN,T_i_kNm,My_i_kNm,Mz_i_kNm,N_j_kN,Vy_j_kN,Vz_j_kN,T_j_kNm,My_j_kNm,Mz_j_kNm,N_mx_kN,Vy_mx_kN,Vz_mx_kN,T_mx_kNm,My_mx_kNm,Mz_mx_kNm,M_mx_abs_kNm
I,primera_ejecucion,P1,columna,P. 70x70,col_-0.0_-0.0_P1,3,1,2,-0.0,-0.0,-4.01,-0.0,-0.0,-0.05,141.800325,9.283464,0.318999,-0.000482,-0.441187,10.137107,-141.800325,-9.283464,-0.318999,0.000482,-0.822049,26.62541,141.800325,9.283464,0.318999,0.000482,0.822049,26.62541,26.62541
I,primera_ejecucion,P2,columna,P. 70x70,col_-0.0_-0.0_P2,6,2,5,-0.0,-0.0,-0.05,-0.0,-0.0,3.91,247.211959,11.200821,2.113388,-0.015981,-4.524882,27.611095,-247.211959,-11.200821,-2.113388,0.015981,-3.844136,16.744155,247.211959,11.200821,2.113388,0.015981,4.524882,27.611095,27.611095
I,primera_ejecucion,P3,columna,P. 70x70,col_-0.0_-0.0_P3,8,5,7,-0.0,-0.0,3.91,-0.0,-0.0,7.87,121.313744,-12.765345,3.013052,0.025136,-4.882947,-26.799098,-121.313744,12.765345,-3.013052,-0.025136,-7.04874,-23.751669,121.313744,12.765345,3.013052,0.025136,7.04874,26.799098,26.799098
I,primera_ejecucion,P1,columna,P. 70x70,col_-0.0_8.9_P1,11,9,10,-0.0,8.9,-4.01,-0.0,8.9,-0.05,561.650569,-0.031747,-0.700577,-0.000482,0.904652,-2.156658,-561.650569,0.031747,0.700577,0.000482,1.869631,2.030942,561.650569,0.031747,0.700577,0.000482,1.869631,2.156658,2.156658
I,primera_ejecucion,P2,columna,P. 70x70,col_-0.0_8.9_P2,13,10,12,-0.0,8.9,-0.05,-0.0,8.9,3.91,303.564277,3.806886,0.174861,-0.015981,-0.620185,5.627019,-303.564277,-3.806886,-0.174861,0.015981,-0.072263,9.448248,303.564277,3.806886,0.174861,0.015981,0.620185,9.448248,9.448248
I,primera_ejecucion,P3,columna,P. 70x70,col_-0.0_8.9_P3,15,12,14,-0.0,8.9,3.91,-0.0,8.9,7.87,148.927193,-14.656262,-0.740234,0.025136,1.284407,-27.028161,-148.927193,14.656262,0.740234,-0.025136,1.646919,-31.010637,148.927193,14.656262,0.740234,0.025136,1.646919,31.010637,31.010637
I,primera_ejecucion,P1,columna,P. 70x70,col_-0.0_16.15_P1,18,16,17,-0.0,16.15,-4.01,-0.0,16.15,-0.05,95.82055,6.05129,-0.999315,-0.000482,1.298987,5.874834,-95.82055,-6.05129,0.999315,0.000482,2.658299,18.088273,95.82055,6.05129,0.999315,0.000482,2.658299,18.088273,18.088273
I,primera_ejecucion,P2,columna,P. 70x70,col_-0.0_16.15_P2,20,17,19,-0.0,16.15,-0.05,-0.0,16.15,3.91,148.214733,7.671536,-1.106928,-0.015981,1.46611,18.816614,-148.214733,-7.671536,1.106928,0.015981,2.917325,11.562667,148.214733,7.671536,1.106928,0.015981,2.917325,18.816614,18.816614
I,primera_ejecucion,P3,columna,P. 70x70,col_-0.0_16.15_P3,22,19,21,-0.0,16.15,3.91,-0.0,16.15,7.87,73.842971,-13.358175,-3.916665,0.025136,6.774923,-28.462196,-73.842971,13.358175,3.916665,-0.025136,8.73507,-24.436175,73.842971,13.358175,3.916665,0.025136,8.73507,28.462196,28.462196
I,primera_ejecucion,P1,columna,P. 70x70,col_10.0_8.9_P1,25,23,24,10.0,8.9,-4.01,10.0,8.9,-0.05,1269.817658,-6.084481,-0.782477,-0.000482,1.01536,-10.146267,-1269.817658,6.084481,0.782477,0.000482,2.08325,-13.948276,1269.817658,6.084481,0.782477,0.000482,2.08325,13.948276,13.948276
I,primera_ejecucion,P2,columna,P. 70x70,col_10.0_8.9_P2,27,24,26,10.0,8.9,-0.05,10.0,8.9,3.91,792.352955,27.204755,0.178418,-0.015981,-0.435877,28.522598,-792.352955,-27.204755,-0.178418,0.015981,-0.270657,79.208232,792.352955,27.204755,0.178418,0.015981,0.435877,79.208232,79.208232
I,primera_ejecucion,P3,columna,P. 70x70,col_10.0_8.9_P3,29,26,28,10.0,8.9,3.91,10.0,8.9,7.87,399.821346,80.370487,-1.494818,0.025136,1.865254,137.281944,-399.821346,-80.370487,1.494818,-0.025136,4.054225,180.985185,399.821346,80.370487,1.494818,0.025136,4.054225,180.985185,180.985185
