panel,borde,soporte,tipo,longitud_m,area_tributaria_m2,ancho_max_m,ancho_promedio_m
EII_CP2_L_001,EII_CP2_V_009,EII_CP2_V_009,viga,5.0,6.069063,2.422105,1.213813
EII_CP2_L_001,EII_CP2_V_003,EII_CP2_V_003,viga,8.9,16.374837,2.527942,1.839869
EII_CP2_L_001,EII_CP2_V_012,EII_CP2_V_012,viga,5.0,6.059368,2.418987,1.211874
EII_CP2_L_001,EII_CP2_V_001,EII_CP2_V_001,viga,8.9,15.996732,2.431488,1.797386
EII_CP2_L_002,EII_CP2_V_010,EII_CP2_V_010,viga,5.0,6.078758,2.425222,1.215752
EII_CP2_L_002,EII_CP2_V_005,EII_CP2_V_005,viga,8.9,16.374837,2.527942,1.839869
EII_CP2_L_002,EII_CP2_V_013,EII_CP2_V_013,viga,5.0,6.069063,2.422105,1.213813
EII_CP2_L_002,EII_CP2_V_003,EII_CP2_V_003,viga,8.9,15.977342,2.429572,1.795207
EII_CP2_L_003,EII_CP2_V_011,EII_CP2_V_011,viga,5.0,6.078758,2.425222,1.215752
EII_CP2_L_003,EII_CP2_V_007,EII_CP2_V_007,viga,8.9,16.374837,2.527942,1.839869
EII_CP2_L_003,EII_CP2_V_014,EII_CP2_V_014,viga,5.0,6.069063,2.422105,1.213813
EII_CP2_L_003,EII_CP2_V_005,EII_CP2_V_005,viga,8.9,15.977342,2.429572,1.795207
EII_CP2_L_004,EII_CP2_V_012,EII_CP2_V_012,viga,5.0,6.483506,2.492715,1.296701
EII_CP2_L_004,EII_CP2_V_004,EII_CP2_V_004,viga,7.25,11.747152,2.522563,1.620297
EII_CP2_L_004,EII_CP2_V_015,EII_CP2_V_015,viga,5.0,6.4739,2.489744,1.29478
EII_CP2_L_004,EII_CP2_V_002,EII_CP2_V_002,viga,7.25,11.545443,2.427651,1.592475
EII_CP2_L_005,EII_CP2_V_013,EII_CP2_V_013,viga,5.0,6.493111,2.495685,1.298622
EII_CP2_L_005,EII_CP2_V_006,EII_CP2_V_006,viga,7.25,11.747152,2.522563,1.620297
