tag,Rx_kN,Ry_kN,Rz_kN,Mx_kN_m,My_kN_m,Mz_kN_m
1,18.34345,0.673919,315.555114,-0.922399,19.358487,-0.000767
2,4.471604,3.262557,0.0,-0.0,0.0,-0.033729
5,-51.270279,1.840393,0.0,0.0,-0.0,0.067761
7,28.455225,-5.776869,0.0,-0.0,-0.0,-0.033264
9,-1.126553,-1.234042,1381.242763,1.66024,-1146.049263,-0.000767
10,8.534609,1.549019,-0.0,0.0,-0.0,-0.033729
12,-39.793601,-1.408466,0.0,0.0,0.0,0.067761
14,32.385546,1.093489,-0.0,-0.0,0.0,-0.033264
16,14.302093,-1.858158,259.978942,2.419944,14.030572,-0.000767
17,5.062857,-0.326524,-0.0,0.0,-0.0,-0.033729
19,-49.945597,-4.920486,-0.0,0.0,0.0,0.067761
21,30.580648,7.105169,-0.0,-0.0,0.0,-0.033264
23,-11.683315,-1.077647,2177.221427,1.393803,-20.273164,-0.000767
24,56.864029,1.702041,-0.0,0.0,-0.0,-0.033729
26,84.439276,-2.258292,0.0,0.0,0.0,0.067761
28,-129.61999,1.633898,0.0,0.0,0.0,-0.033264
30,-12.586761,-2.250437,1503.677661,2.941886,-21.462716,-0.000767
31,55.383467,-0.554308,-0.0,0.0,-0.0,-0.033729
33,54.494349,-6.441179,-0.0,0.0,-0.0,0.067761
35,-97.291056,9.245924,0.0,0.0,-0.0,-0.033264
37,-10.505404,0.41339,1609.844888,-0.574366,-18.722001,-0.000767
38,43.451637,3.779137,0.0,0.0,-0.0,-0.033729
40,39.165446,5.084317,-0.0,-0.0,0.0,0.067761
42,-72.111679,-9.276845,0.0,-0.0,-0.0,-0.033264
44,-4.419509,0.375683,1780.152348,-0.520459,-10.688619,-0.000767
45,6.077933,4.676019,0.0,0.0,-0.0,-0.033729
47,-39.564863,7.12341,0.0,0.0,-0.0,0.067761
49,37.906439,-12.175113,-0.0,-0.0,-0.0,-0.033264
51,-25.363192,-1.714174,-0.0,0.0,-0.0,-0.033729
52,-17.046264,-6.671567,0.0,-0.0,0.0,0.067761
54,40.899777,10.499883,-0.0,0.0,0.0,-0.033264
56,1.509679,-2.114143,1734.0923,2.766111,-2.855416,-0.000767
58,-13.778446,0.910545,0.0,0.0,0.0,-0.033729
59,-41.197941,-0.158594,-0.0,-0.0,-0.0,0.067761
61,55.277353,0.063494,0.0,0.0,-0.0,-0.033264
63,-0.300966,-0.815445,2424.65841,1.05183,-5.248464,-0.000767
65,2.72316,-3.003615,-0.0,0.0,-0.0,-0.033729
66,-48.901217,-6.750061,0.0,-0.0,-0.0,0.067761
68,51.963745,11.865733,-0.0,0.0,0.0,-0.033264
70,-5.785688,-2.112057,1616.323233,2.767492,-12.4853,-0.000767
72,6.859645,0.14464,0.0,-0.0,-0.0,-0.033729
73,-21.0421,-0.685657,0.0,-0.0,-0.0,0.067761
75,20.417411,1.049097,-0.0,0.0,-0.0,-0.033264
77,-6.234955,-0.508079,2374.028855,0.650242,-13.08133,-0.000767
79,3.455567,5.217818,-0.0,0.0,0.0,-0.033729
80,-27.291856,12.207524,0.0,-0.0,0.0,0.067761
82,20.881378,-12.330361,-0.0,0.0,0.0,-0.033264
84,2.954911,-5.094981,1767.471212,6.704952,-0.954385,-0.000767
86,-12.438449,-2.216533,0.0,0.0,0.0,-0.033729
87,-120.243915,-5.909681,0.0,0.0,0.0,0.067761
89,137.004568,10.13311,-0.0,0.0,0.0,-0.033264
91,-4.322203,-2.006895,1003.711109,2.632813,-10.5535,-0.000767
93,-27.965572,0.217441,0.0,0.0,-0.0,-0.033729
94,-157.664547,-0.411068,-0.0,-0.0,0.0,0.067761
96,188.818779,0.873492,0.0,-0.0,0.0,-0.033264
98,-3.18866,-0.679865,1699.718764,0.881132,-9.06022,-0.000767
100,-17.203658,3.050929,0.0,0.0,-0.0,-0.033729
101,-140.086276,5.516973,0.0,0.0,-0.0,0.067761
103,154.162413,-9.452289,-0.0,-0.0,0.0,-0.033264
105,3.127521,0.884387,999.698411,-1.18368,-0.72654,-0.000767
107,-26.31868,0.167596,-0.0,-0.0,-0.0,-0.033729
108,175.481028,-7.115717,0.0,-0.0,-0.0,0.067761
110,-149.741992,8.774812,-0.0,0.0,-0.0,-0.033264
112,0.579644,-1.826691,956.856068,2.397009,-4.083062,-0.000767
114,-33.567542,0.161695,0.0,-0.0,-0.0,-0.033729
115,223.688178,-0.669204,-0.0,-0.0,-0.0,0.067761
117,-190.783896,0.867617,0.0,0.0,-0.0,-0.033264
119,0.66326,-0.360108,1453.188237,0.46112,-3.975686,-0.000767
121,-30.361831,1.903157,0.0,-0.0,-0.0,-0.033729
122,182.035377,12.558836,0.0,-0.0,-0.0,0.067761
124,-165.459087,-9.014499,-0.0,-0.0,-0.0,-0.033264
126,13.785541,-5.447493,1170.148101,7.176469,13.342046,-0.000767
128,0.147413,-0.021235,0.0,0.0,0.0,0.003708
129,-0.147413,0.021235,0.0,-0.168178,-1.167507,-0.003708
131,0.16444,-0.013703,0.0,0.0,0.0,0.00014
132,-0.16444,0.013703,0.0,-0.16279,-1.953546,-0.00014
134,0.16441,-0.013703,0.0,0.0,0.0,0.00014
135,-0.16441,0.013703,0.0,-0.16279,-1.953188,-0.00014
137,0.164385,-0.013703,0.0,0.0,0.0,0.00014
138,-0.164385,0.013703,0.0,-0.16279,-1.952891,-0.00014
140,0.16444,-0.013695,0.0,-0.0,0.0,0.00014
141,-0.16444,0.013695,0.0,-0.162695,-1.953546,-0.00014
143,0.16441,-0.013695,0.0,0.0,0.0,0.00014
144,-0.16441,0.013695,0.0,-0.162694,-1.953188,-0.00014
146,0.164385,-0.013694,0.0,-0.0,0.0,0.00014
147,-0.164385,0.013694,0.0,-0.162686,-1.952891,-0.00014
149,0.164379,-0.013792,0.0,0.0,0.0,0.00014
150,-0.164379,0.013792,0.0,-0.163848,-1.952823,-0.00014
152,0.164379,-0.013758,0.0,-0.0,-0.0,0.00014
153,-0.164379,0.013758,0.0,-0.16344,-1.95282,-0.00014
155,0.164444,-0.013698,0.0,0.0,0.0,0.00014
156,-0.164444,0.013698,0.0,-0.162732,-1.953593,-0.00014
158,0.164413,-0.013698,0.0,0.0,0.0,0.00014
159,-0.164413,0.013698,0.0,-0.162727,-1.95323,-0.00014
161,0.164389,-0.013698,0.0,0.0,-0.0,0.00014
162,-0.164389,0.013698,0.0,-0.16273,-1.952936,-0.00014
164,0.164444,-0.013688,0.0,0.0,0.0,0.00014
165,-0.164444,0.013688,0.0,-0.162618,-1.953593,-0.00014
167,0.164412,-0.013688,0.0,0.0,0.0,0.00014
168,-0.164412,0.013688,0.0,-0.162608,-1.953217,-0.00014
170,0.164387,-0.013688,0.0,0.0,-0.0,0.00014
171,-0.164387,0.013688,0.0,-0.162612,-1.952922,-0.00014
173,0.164371,-0.013792,0.0,0.0,0.0,0.00014
174,-0.164371,0.013792,0.0,-0.163843,-1.952724,-0.00014
176,0.164371,-0.013757,0.0,0.0,-0.0,0.00014
177,-0.164371,0.013757,0.0,-0.163435,-1.952726,-0.00014
179,6.047284,18.44511,0.0,-0.0,-0.0,7.882478
180,-6.047284,-18.44511,93.077622,104.85567,-48.806249,-7.882478
182,1.328784,27.032719,0.0,-0.0,-0.0,7.882478
183,-1.328784,-27.032719,234.817152,160.814373,-23.892569,-7.882478
185,3.212469,35.702407,0.0,-0.0,-0.0,7.882478
