nodo,direccion,desplazamiento_m
1,comp_0,0.0
1,comp_1,0.0
1,comp_2,0.0
1,comp_3,0.0
1,comp_4,0.0
1,comp_5,0.0
2,comp_0,6.400280593922767e-05
2,comp_1,-4.32739762987811e-07
2,comp_2,-7.932507564210203e-05
2,comp_3,-2.7429212550391085e-06
2,comp_4,0.00011293324981871052
2,comp_5,5.449859850717084e-09
5,comp_0,0.00018452764027377348
5,comp_1,-3.079581741653595e-05
5,comp_2,-0.00022427982116591014
5,comp_3,7.793282629684996e-07
5,comp_4,4.8196529071852935e-05
5,comp_5,2.504457739661053e-07
7,comp_0,0.0006807794192355164
7,comp_1,-5.738725372258723e-05
7,comp_2,-0.00029247340989424996
7,comp_3,-1.2735226552289582e-05
7,comp_4,7.739181877430413e-05
7,comp_5,1.420030411825444e-08
9,comp_0,0.0
9,comp_1,0.0
9,comp_2,0.0
9,comp_3,0.0
9,comp_4,0.0
9,comp_5,0.0
10,comp_0,6.395430218655629e-05
10,comp_1,-4.32739762987811e-07
10,comp_2,-0.0003038241422203737
10,comp_3,5.641437497760229e-06
10,comp_4,2.7349619720474582e-05
10,comp_5,5.449859850717084e-09
12,comp_0,0.00018229867288547516
12,comp_1,-3.079581741653595e-05
12,comp_2,-0.0004827715442064732
12,comp_3,8.309312875363307e-06
12,comp_4,6.497428238100483e-05
12,comp_5,2.504457739661053e-07
14,comp_0,0.000680653036528864
14,comp_1,-5.738725372258723e-05
14,comp_2,-0.0005676358526392375
14,comp_3,9.925943511985506e-06
14,comp_4,4.4404547212555735e-05
14,comp_5,1.420030411825444e-08
16,comp_0,0.0
16,comp_1,0.0
16,comp_2,0.0
16,comp_3,0.0
16,comp_4,0.0
16,comp_5,0.0
17,comp_0,6.391479070263859e-05
17,comp_1,-4.32739762987811e-07
17,comp_2,-6.421523484506463e-05
17,comp_3,8.384060162900106e-06
17,comp_4,9.51294267000022e-05
17,comp_5,5.449859850717084e-09
19,comp_0,0.00018048294102422088
19,comp_1,-3.079581741653595e-05
19,comp_2,-0.00017673003930576795
19,comp_3,1.6551212469842323e-05
19,comp_4,4.8840862278249935e-05
19,comp_5,2.504457739661053e-07
21,comp_0,0.0006805500843240066
21,comp_1,-5.738725372258723e-05
21,comp_2,-0.00022897817208460033
21,comp_3,2.8101814239554993e-05
21,comp_4,6.933446570982185e-05
21,comp_5,1.420030411825444e-08
23,comp_0,0.0
23,comp_1,0.0
23,comp_2,0.0
23,comp_3,0.0
23,comp_4,0.0
23,comp_5,0.0
