nodo,direccion,valor_kN
1,comp_0,18.343450263127053
1,comp_1,0.6739194099129066
1,comp_2,315.5551142981872
1,comp_3,-0.9223986558180526
1,comp_4,19.35848657770051
1,comp_5,-0.0007673618288427359
2,comp_0,4.471603709835847
2,comp_1,3.262556584922496
2,comp_2,1.013900075008678e-11
2,comp_3,-1.7763568394002505e-15
2,comp_4,2.2080115513745113e-12
2,comp_5,-0.03372903218206776
5,comp_0,-51.270279412107286
5,comp_1,1.8403926886546658
5,comp_2,2.327027459614328e-13
5,comp_3,3.552713678800501e-15
5,comp_4,-2.609024107869118e-15
5,comp_5,0.06776069084863755
7,comp_0,28.455225439144385
7,comp_1,-5.776868683490074
7,comp_2,5.337952302397753e-13
7,comp_3,-7.105427357601002e-15
7,comp_4,-5.6288307348495437e-14
7,comp_5,-0.033264296837724805
9,comp_0,-1.1265529187882928
9,comp_1,-1.2340416152618763
9,comp_2,1381.2427632920183
9,comp_3,1.6602403037414806
9,comp_4,-1146.0492628399443
9,comp_5,-0.0007673618288427359
10,comp_0,8.53460870654748
10,comp_1,1.5490186049525476
10,comp_2,-5.919531531617395e-11
10,comp_3,2.1316282072803006e-14
10,comp_4,-3.411049220858331e-12
10,comp_5,-0.03372903218206768
12,comp_0,-39.79360144618765
12,comp_1,-1.408466329570854
12,comp_2,4.1744385725905886e-14
12,comp_3,3.197442310920451e-14
12,comp_4,1.765254609153999e-14
12,comp_5,0.06776069084863673
14,comp_0,32.38554565842846
14,comp_1,1.0934893398801773
14,comp_2,-2.447819724693545e-12
14,comp_3,-7.105427357601002e-15
14,comp_4,1.1013412404281553e-13
14,comp_5,-0.033264296837725985
16,comp_0,14.302093176841689
16,comp_1,-1.858158176364508
16,comp_2,259.9789415008642
16,comp_3,2.4199437580681344
16,comp_4,14.030571530085755
16,comp_5,-0.0007673618288427359
17,comp_0,5.062856607177816
17,comp_1,-0.3265241363953858
17,comp_2,-1.6324719354088302e-11
17,comp_3,3.907985046680551e-14
17,comp_4,-1.6204815267428785e-12
17,comp_5,-0.033729032182067666
19,comp_0,-49.945597358300695
19,comp_1,-4.920486349603824
19,comp_2,-1.8740564655672642e-13
19,comp_3,4.973799150320701e-14
19,comp_4,5.2513549064769904e-14
19,comp_5,0.06776069084863637
21,comp_0,30.58064757428119
21,comp_1,7.105168662363712
21,comp_2,-3.9879211044535623e-13
21,comp_3,-1.1546319456101628e-13
21,comp_4,1.7208456881689926e-14
21,comp_5,-0.033264296837727254
23,comp_0,-11.683315058596206
23,comp_1,-1.0776470746427096
23,comp_2,2177.221426599589
23,comp_3,1.393803039573638
23,comp_4,-20.273164444131517
23,comp_5,-0.0007673618288427359
24,comp_0,56.864029082848475
24,comp_1,1.7020413711935487
24,comp_2,-1.8625101461111626e-12
24,comp_3,2.6645352591003757e-14
24,comp_4,-7.702172233337023e-14
24,comp_5,-0.03372903218206839
26,comp_0,84.43927601456363
26,comp_1,-2.2582919246725948
26,comp_2,3.419486915845482e-13
26,comp_3,1.7763568394002505e-14
26,comp_4,8.337774914934926e-13
26,comp_5,0.06776069084863684
28,comp_0,-129.6199900388159
28,comp_1,1.633897628121758
28,comp_2,2.3443469387984806e-12
