n,origen,elemento_id,nivel,nodo_original,nodo_original_xyz,receptor,receptor_xyz,tipo_receptor,distancia_m,carga_efectiva_kN,carga_pendiente_kN,clasificacion,razon
1,losa,,EII_CP1,601038,"[27.6, 8.9, -0.05]",601037,"[27.5, 0, -0.05]",columna,8.900562,-44.302103,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
2,losa,,EII_CP1S,600001,"[-3.65, 1.825, -4.01]",600017,"[0.0, 8.9, -4.01]",columna,7.961038,-18.331144,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
3,losa,,EII_CP1S,600002,"[-3.65, 14.325, -4.01]",600017,"[0.0, 8.9, -4.01]",columna,6.538587,-18.331144,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
4,losa,,EII_CP1S,600006,"[-3.35, 4.265, -4.01]",600017,"[0.0, 8.9, -4.01]",columna,5.718892,-10.330817,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
5,losa,,EII_CP1S,600007,"[-3.35, 11.885, -4.01]",600017,"[0.0, 8.9, -4.01]",columna,4.486951,-12.752828,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
6,losa,,EII_CP1S,600038,"[27.6, 8.9, -4.01]",600037,"[27.5, 0.0, -4.01]",columna,8.900562,-44.302103,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
7,losa,,EII_CP2,602040,"[27.725, 8.55, 3.91]",602036,"[27.5, 0, 3.91]",columna,8.55296,-24.016051,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
8,losa,,EII_CP2,602041,"[27.725, 8.9, 3.91]",602036,"[27.5, 0, 3.91]",columna,8.902844,-33.507009,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
9,losa,,EII_CP3,603038,"[27.6, 8.9, 7.87]",603037,"[27.5, 0, 7.87]",columna,8.900562,-33.507009,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
10,losa,,EII_CP3,603042,"[27.725, 8.55, 7.87]",603037,"[27.5, 0, 7.87]",columna,8.55296,-24.016051,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
11,PP_elemento,EII_CP4_V_007,EII_CP4,604032,"[22.5, 8.9, 11.83]",604035,"[25.08, 6.15, 11.83]",muro,3.770796,52.367458,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
12,PP_elemento,EII_CP4_V_008,EII_CP4,604032,"[22.5, 8.9, 11.83]",604035,"[25.08, 6.15, 11.83]",muro,3.770796,42.658884,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
13,PP_elemento,EII_CP4_V_014,EII_CP4,604032,"[22.5, 8.9, 11.83]",604035,"[25.08, 6.15, 11.83]",muro,3.770796,29.41992,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
14,PP_elemento,EII_CP4_V_034,EII_CP4,604032,"[22.5, 8.9, 11.83]",604035,"[25.08, 6.15, 11.83]",muro,3.770796,30.008318,0.0,SIN_CAMINO_ESTRUCTURAL_CONFIRMADO,el segmento recto cruza un vano de losa (patio/hueco): sin continuidad de tablero confirmada
