nodo,direccion,desplazamiento_m
600000,comp_0,0.0
600000,comp_1,0.0
600000,comp_2,0.0
600000,comp_3,0.0
600000,comp_4,0.0
600000,comp_5,0.0
600001,comp_0,0.0
600001,comp_1,0.0
600001,comp_2,0.0
600001,comp_3,0.0
600001,comp_4,0.0
600001,comp_5,0.0
600002,comp_0,0.0
600002,comp_1,0.0
600002,comp_2,0.0
600002,comp_3,0.0
600002,comp_4,0.0
600002,comp_5,0.0
600003,comp_0,0.0
600003,comp_1,0.0
600003,comp_2,0.0
600003,comp_3,0.0
600003,comp_4,0.0
600003,comp_5,0.0
600004,comp_0,0.0
600004,comp_1,0.0
600004,comp_2,0.0
600004,comp_3,0.0
600004,comp_4,0.0
600004,comp_5,0.0
600005,comp_0,0.0
600005,comp_1,0.0
600005,comp_2,0.0
600005,comp_3,0.0
600005,comp_4,0.0
600005,comp_5,0.0
600006,comp_0,0.0
600006,comp_1,0.0
600006,comp_2,0.0
600006,comp_3,0.0
600006,comp_4,0.0
600006,comp_5,0.0
600007,comp_0,0.0
600007,comp_1,0.0
600007,comp_2,0.0
600007,comp_3,0.0
600007,comp_4,0.0
600007,comp_5,0.0
600008,comp_0,0.0
600008,comp_1,0.0
600008,comp_2,0.0
600008,comp_3,0.0
600008,comp_4,0.0
600008,comp_5,0.0
600009,comp_0,0.0
600009,comp_1,0.0
600009,comp_2,0.0
600009,comp_3,0.0
600009,comp_4,0.0
600009,comp_5,0.0
600010,comp_0,0.0
600010,comp_1,0.0
600010,comp_2,0.0
600010,comp_3,0.0
600010,comp_4,0.0
600010,comp_5,0.0
600011,comp_0,0.0
600011,comp_1,0.0
600011,comp_2,0.0
600011,comp_3,0.0
600011,comp_4,0.0
600011,comp_5,0.0
600012,comp_0,0.0
600012,comp_1,0.0
600012,comp_2,0.0
600012,comp_3,0.0
600012,comp_4,0.0
600012,comp_5,0.0
600013,comp_0,0.0
600013,comp_1,0.0
600013,comp_2,0.0
600013,comp_3,0.0
600013,comp_4,0.0
600013,comp_5,0.0
600014,comp_0,0.0
600014,comp_1,0.0
600014,comp_2,0.0
600014,comp_3,0.0
600014,comp_4,0.0
600014,comp_5,0.0
600015,comp_0,0.0
600015,comp_1,0.0
600015,comp_2,0.0
600015,comp_3,0.0
600015,comp_4,0.0
600015,comp_5,0.0
600016,comp_0,0.0
600016,comp_1,0.0
600016,comp_2,0.0
600016,comp_3,0.0
600016,comp_4,0.0
600016,comp_5,0.0
600017,comp_0,0.0
600017,comp_1,0.0
600017,comp_2,0.0
600017,comp_3,0.0
600017,comp_4,0.0
600017,comp_5,0.0
600018,comp_0,0.0
600018,comp_1,0.0
600018,comp_2,0.0
600018,comp_3,0.0
600018,comp_4,0.0
600018,comp_5,0.0
600019,comp_0,0.0
600019,comp_1,0.0
600019,comp_2,0.0
600019,comp_3,0.0
600019,comp_4,0.0
600019,comp_5,0.0
600020,comp_0,0.0
600020,comp_1,0.0
600020,comp_2,0.0
600020,comp_3,0.0
600020,comp_4,0.0
600020,comp_5,0.0
600021,comp_0,0.0
600021,comp_1,0.0
600021,comp_2,0.0
600021,comp_3,0.0
600021,comp_4,0.0
600021,comp_5,0.0
600022,comp_0,0.0
600022,comp_1,0.0
600022,comp_2,0.0
600022,comp_3,0.0
600022,comp_4,0.0
600022,comp_5,0.0
600023,comp_0,0.0
600023,comp_1,0.0
600023,comp_2,0.0
600023,comp_3,0.0
600023,comp_4,0.0
600023,comp_5,0.0
600024,comp_0,0.0
600024,comp_1,0.0
600024,comp_2,0.0
600024,comp_3,0.0
600024,comp_4,0.0
600024,comp_5,0.0
600025,comp_0,0.0
600025,comp_1,0.0
600025,comp_2,0.0
600025,comp_3,0.0
600025,comp_4,0.0
600025,comp_5,0.0
600026,comp_0,0.0
600026,comp_1,0.0
600026,comp_2,0.0
600026,comp_3,0.0
600026,comp_4,0.0
600026,comp_5,0.0
600027,comp_0,0.0
600027,comp_1,0.0
600027,comp_2,0.0
600027,comp_3,0.0
600027,comp_4,0.0
600027,comp_5,0.0
600028,comp_0,0.0
600028,comp_1,0.0
600028,comp_2,0.0
600028,comp_3,0.0
600028,comp_4,0.0
600028,comp_5,0.0
600029,comp_0,0.0
600029,comp_1,0.0
600029,comp_2,0.0
600029,comp_3,0.0
600029,comp_4,0.0
600029,comp_5,0.0
600030,comp_0,0.0
600030,comp_1,0.0
600030,comp_2,0.0
600030,comp_3,0.0
600030,comp_4,0.0
600030,comp_5,0.0
600031,comp_0,0.0
600031,comp_1,0.0
600031,comp_2,0.0
600031,comp_3,0.0
600031,comp_4,0.0
600031,comp_5,0.0
600032,comp_0,0.0
600032,comp_1,0.0
600032,comp_2,0.0
600032,comp_3,0.0
600032,comp_4,0.0
600032,comp_5,0.0
600033,comp_0,0.0
600033,comp_1,0.0
600033,comp_2,0.0
600033,comp_3,0.0
600033,comp_4,0.0
600033,comp_5,0.0
600034,comp_0,0.0
600034,comp_1,0.0
600034,comp_2,0.0
600034,comp_3,0.0
600034,comp_4,0.0
600034,comp_5,0.0
600035,comp_0,0.0
600035,comp_1,0.0
600035,comp_2,0.0
600035,comp_3,0.0
600035,comp_4,0.0
600035,comp_5,0.0
600036,comp_0,0.0
600036,comp_1,0.0
600036,comp_2,0.0
600036,comp_3,0.0
600036,comp_4,0.0
600036,comp_5,0.0
600037,comp_0,0.0
600037,comp_1,0.0
600037,comp_2,0.0
600037,comp_3,0.0
600037,comp_4,0.0
600037,comp_5,0.0
600038,comp_0,0.0
600038,comp_1,0.0
600038,comp_2,0.0
600038,comp_3,0.0
600038,comp_4,0.0
600038,comp_5,0.0
600039,comp_0,0.0
600039,comp_1,0.0
600039,comp_2,0.0
600039,comp_3,0.0
600039,comp_4,0.0
600039,comp_5,0.0
600040,comp_0,0.0
600040,comp_1,0.0
600040,comp_2,0.0
600040,comp_3,0.0
600040,comp_4,0.0
600040,comp_5,0.0
600041,comp_0,0.0
600041,comp_1,0.0
600041,comp_2,0.0
600041,comp_3,0.0
600041,comp_4,0.0
600041,comp_5,0.0
600042,comp_0,0.0
600042,comp_1,0.0
600042,comp_2,0.0
600042,comp_3,0.0
600042,comp_4,0.0
600042,comp_5,0.0
600043,comp_0,0.0
600043,comp_1,0.0
600043,comp_2,0.0
600043,comp_3,0.0
600043,comp_4,0.0
600043,comp_5,0.0
600044,comp_0,0.0
600044,comp_1,0.0
600044,comp_2,0.0
600044,comp_3,0.0
600044,comp_4,0.0
600044,comp_5,0.0
601000,comp_0,-0.0002956
601000,comp_1,0.00044614
601000,comp_2,-4.839e-05
601000,comp_3,-0.00016152
601000,comp_4,-0.00011043
601000,comp_5,-1.611e-05
601001,comp_0,-0.00024858
601001,comp_1,0.00044614
601001,comp_2,-7.86e-05
601001,comp_3,-0.00015804
601001,comp_4,-0.0001139
601001,comp_5,-1.611e-05
601002,comp_0,-4.725e-05
601002,comp_1,0.00044614
601002,comp_2,-0.0002237
601002,comp_3,-0.00015787
601002,comp_4,-2.499e-05
601002,comp_5,-1.611e-05
601003,comp_0,-3.1e-07
601003,comp_1,0.00044614
601003,comp_2,-4.839e-05
601003,comp_3,-0.00016152
601003,comp_4,1.6e-07
601003,comp_5,-1.611e-05
601004,comp_0,-0.00028038
601004,comp_1,0.00044131
601004,comp_2,-4.839e-05
601004,comp_3,-0.00015499
601004,comp_4,-0.00073721
601004,comp_5,-1.611e-05
601005,comp_0,-4.598e-05
601005,comp_1,-0.00015499
601005,comp_2,-0.00078155
601005,comp_3,-0.0002956
601005,comp_4,0.00044614
601005,comp_5,-1.611e-05
601006,comp_0,-3.93e-05
601006,comp_1,-0.00016287
601006,comp_2,-0.00096901
601006,comp_3,-0.0002956
601006,comp_4,0.00044614
601006,comp_5,-1.611e-05
601007,comp_0,-0.000263
601007,comp_1,-0.00016271
601007,comp_2,0.00056244
601007,comp_3,-0.0002956
601007,comp_4,0.00044614
601007,comp_5,-1.611e-05
601008,comp_0,-4.965e-05
601008,comp_1,-0.00015834
601008,comp_2,-0.00069911
601008,comp_3,0.0
601008,comp_4,0.0
601008,comp_5,0.0
601009,comp_0,-1.544e-05
601009,comp_1,0.00044131
601009,comp_2,-4.965e-05
601009,comp_3,-0.00015834
601009,comp_4,-0.00069911
