tipo,elemento,nodo,componente,valor
local,1,-,comp_0,1186.505949
local,1,-,comp_1,6.147958
local,1,-,comp_2,-19.287846
local,1,-,comp_3,2.121288
local,1,-,comp_4,52.944473
local,1,-,comp_5,17.667766
local,1,-,comp_6,-1186.505949
local,1,-,comp_7,-6.147958
local,1,-,comp_8,19.287846
local,1,-,comp_9,-2.121288
local,1,-,comp_10,23.435398
local,1,-,comp_11,6.678148
local,3,-,comp_0,848.542028
local,3,-,comp_1,6.551029
local,3,-,comp_2,-12.699695
local,3,-,comp_3,2.922655
local,3,-,comp_4,20.676712
local,3,-,comp_5,10.437367
local,3,-,comp_6,-848.542028
local,3,-,comp_7,-6.551029
local,3,-,comp_8,12.699695
local,3,-,comp_9,-2.922655
local,3,-,comp_10,29.614079
local,3,-,comp_11,15.504709
local,4,-,comp_0,549.47432
local,4,-,comp_1,7.002074
local,4,-,comp_2,-4.656636
local,4,-,comp_3,2.137161
local,4,-,comp_4,4.237052
local,4,-,comp_5,10.482443
local,4,-,comp_6,-549.47432
local,4,-,comp_7,-7.002074
local,4,-,comp_8,4.656636
local,4,-,comp_9,-2.137161
local,4,-,comp_10,14.203225
local,4,-,comp_11,17.24577
local,5,-,comp_0,267.374465
local,5,-,comp_1,8.150745
local,5,-,comp_2,-4.779444
local,5,-,comp_3,1.713677
local,5,-,comp_4,6.840143
local,5,-,comp_5,11.794316
local,5,-,comp_6,-267.374465
local,5,-,comp_7,-8.150745
local,5,-,comp_8,4.779444
local,5,-,comp_9,-1.713677
local,5,-,comp_10,12.086457
local,5,-,comp_11,20.482634
local,6,-,comp_0,2420.650319
local,6,-,comp_1,15.047328
local,6,-,comp_2,-14.880904
local,6,-,comp_3,2.121288
local,6,-,comp_4,38.556449
local,6,-,comp_5,39.585689
local,6,-,comp_6,-2420.650319
local,6,-,comp_7,-15.047328
local,6,-,comp_8,14.880904
local,6,-,comp_9,-2.121288
local,6,-,comp_10,20.371932
local,6,-,comp_11,20.001729
local,7,-,comp_0,1804.175298
local,7,-,comp_1,12.624363
local,7,-,comp_2,-10.283876
local,7,-,comp_3,2.922655
local,7,-,comp_4,17.003684
local,7,-,comp_5,23.872824
local,7,-,comp_6,-1804.175298
local,7,-,comp_7,-12.624363
local,7,-,comp_8,10.283876
local,7,-,comp_9,-2.922655
local,7,-,comp_10,23.720467
local,7,-,comp_11,26.119652
local,8,-,comp_0,1186.757651
local,8,-,comp_1,7.418334
local,8,-,comp_2,-3.140851
local,8,-,comp_3,2.137161
local,8,-,comp_4,2.705197
local,8,-,comp_5,9.863911
local,8,-,comp_6,-1186.757651
local,8,-,comp_7,-7.418334
local,8,-,comp_8,3.140851
local,8,-,comp_9,-2.137161
local,8,-,comp_10,9.732572
local,8,-,comp_11,19.512694
local,9,-,comp_0,567.366068
local,9,-,comp_1,-2.852959
local,9,-,comp_2,-2.930051
local,9,-,comp_3,1.713677
local,9,-,comp_4,3.640172
local,9,-,comp_5,-3.043554
local,9,-,comp_6,-567.366068
local,9,-,comp_7,2.852959
local,9,-,comp_8,2.930051
local,9,-,comp_9,-1.713677
local,9,-,comp_10,7.96283
local,9,-,comp_11,-8.254164
local,10,-,comp_0,2336.534632
local,10,-,comp_1,8.680541
local,10,-,comp_2,-19.42454
local,10,-,comp_3,2.121288
local,10,-,comp_4,44.554048
local,10,-,comp_5,21.010775
local,10,-,comp_6,-2336.534632
local,10,-,comp_7,-8.680541
local,10,-,comp_8,19.42454
local,10,-,comp_9,-2.121288
local,10,-,comp_10,32.36713
local,10,-,comp_11,13.364167
local,11,-,comp_0,1727.891328
local,11,-,comp_1,10.729886
local,11,-,comp_2,-17.704562
local,11,-,comp_3,2.922655
local,11,-,comp_4,32.796587
local,11,-,comp_5,19.296468
local,11,-,comp_6,-1727.891328
local,11,-,comp_7,-10.729886
local,11,-,comp_8,17.704562
local,11,-,comp_9,-2.922655
local,11,-,comp_10,37.313478
local,11,-,comp_11,23.193882
local,12,-,comp_0,1121.347211
local,12,-,comp_1,12.372083
local,12,-,comp_2,-7.863517
local,12,-,comp_3,2.137161
local,12,-,comp_4,12.736822
local,12,-,comp_5,19.743936
local,12,-,comp_6,-1121.347211
local,12,-,comp_7,-12.372083
local,12,-,comp_8,7.863517
local,12,-,comp_9,-2.137161
local,12,-,comp_10,18.402704
local,12,-,comp_11,29.249511
local,13,-,comp_0,512.120635
local,13,-,comp_1,0.758264
local,13,-,comp_2,-6.293634
local,13,-,comp_3,1.713677
local,13,-,comp_4,10.516315
local,13,-,comp_5,6.951572
local,13,-,comp_6,-512.120635
local,13,-,comp_7,-0.758264
local,13,-,comp_8,6.293634
local,13,-,comp_9,-1.713677
local,13,-,comp_10,14.406476
local,13,-,comp_11,-3.948845
local,14,-,comp_0,2057.458199
local,14,-,comp_1,-1.629532
local,14,-,comp_2,-15.725003
local,14,-,comp_3,2.121288
local,14,-,comp_4,39.670659
local,14,-,comp_5,-0.883687
local,14,-,comp_6,-2057.458199
local,14,-,comp_7,1.629532
local,14,-,comp_8,15.725003
local,14,-,comp_9,-2.121288
local,14,-,comp_10,22.600353
local,14,-,comp_11,-5.569261
local,15,-,comp_0,1527.445528
local,15,-,comp_1,-2.81208
local,15,-,comp_2,-12.003525
local,15,-,comp_3,2.922655
local,15,-,comp_4,20.38783
local,15,-,comp_5,-7.032976
local,15,-,comp_6,-1527.445528
local,15,-,comp_7,2.81208
local,15,-,comp_8,12.003525
local,15,-,comp_9,-2.922655
local,15,-,comp_10,27.146128
local,15,-,comp_11,-4.10286
local,16,-,comp_0,1000.39388
local,16,-,comp_1,1.1911
local,16,-,comp_2,-5.12066
local,16,-,comp_3,2.137161
local,16,-,comp_4,6.474271
local,16,-,comp_5,-1.368385
local,16,-,comp_6,-1000.39388
local,16,-,comp_7,-1.1911
local,16,-,comp_8,5.12066
local,16,-,comp_9,-2.137161
local,16,-,comp_10,13.803544
local,16,-,comp_11,6.085142
local,17,-,comp_0,477.021262
local,17,-,comp_1,-8.178646
local,17,-,comp_2,-4.54612
local,17,-,comp_3,1.713677
local,17,-,comp_4,7.231006
local,17,-,comp_5,-11.596611
local,17,-,comp_6,-477.021262
local,17,-,comp_7,8.178646
local,17,-,comp_8,4.54612
local,17,-,comp_9,-1.713677
local,17,-,comp_10,10.771628
local,17,-,comp_11,-20.790825
local,18,-,comp_0,1541.657811
local,18,-,comp_1,25.424663
local,18,-,comp_2,-2.505855
local,18,-,comp_3,2.121288
local,18,-,comp_4,10.793569
local,18,-,comp_5,53.283772
local,18,-,comp_6,-1541.657811
local,18,-,comp_7,-25.424663
local,18,-,comp_8,2.505855
local,18,-,comp_9,-2.121288
local,18,-,comp_10,-0.870385
local,18,-,comp_11,47.397895
local,19,-,comp_0,1159.627004
local,19,-,comp_1,29.066467
