nodo,direccion,valor_kN
600000,comp_0,10.867231
600000,comp_1,-105.617996
600000,comp_2,340.188419
600000,comp_3,385.605039
600000,comp_4,41.89384
600000,comp_5,4.285262
600001,comp_0,3.255186
600001,comp_1,-111.381912
600001,comp_2,611.28904
600001,comp_3,393.213408
600001,comp_4,27.463052
600001,comp_5,4.285262
600002,comp_0,-0.314295
600002,comp_1,-111.086057
600002,comp_2,1492.384238
600002,comp_3,391.560374
600002,comp_4,3.981429
600002,comp_5,4.265402
600003,comp_0,0.086746
600003,comp_1,-105.076366
600003,comp_2,339.605905
600003,comp_3,383.627581
600003,comp_4,0.142911
600003,comp_5,4.265402
600004,comp_0,-10.336367
600004,comp_1,-6.881534
600004,comp_2,102.410742
600004,comp_3,23.993207
600004,comp_4,-12.022024
600004,comp_5,0.262888
600006,comp_0,0.0
600006,comp_1,0.0
600006,comp_2,10.330817
600006,comp_3,0.0
600006,comp_4,0.0
600006,comp_5,0.0
600007,comp_0,0.0
600007,comp_1,0.0
600007,comp_2,12.752828
600007,comp_3,0.0
600007,comp_4,0.0
600007,comp_5,0.0
600009,comp_0,-11.997404
600009,comp_1,-6.541417
600009,comp_2,104.334025
600009,comp_3,23.544253
600009,comp_4,-15.747228
600009,comp_5,0.262888
600010,comp_0,-22.3246
600010,comp_1,-5.614338
600010,comp_2,176.843139
600010,comp_3,21.531514
600010,comp_4,-27.846492
600010,comp_5,0.262888
600011,comp_0,-14.142078
600011,comp_1,-5.954455
600011,comp_2,165.211282
600011,comp_3,21.980468
600011,comp_4,-18.578198
600011,comp_5,0.262888
600017,comp_0,6.147958
600017,comp_1,-19.287846
600017,comp_2,1758.338513
600017,comp_3,52.944473
600017,comp_4,17.667766
600017,comp_5,2.121288
600022,comp_0,15.047328
600022,comp_1,-14.880904
600022,comp_2,3099.106625
600022,comp_3,38.556449
600022,comp_4,39.585689
600022,comp_5,2.121288
600023,comp_0,8.680541
600023,comp_1,-19.42454
600023,comp_2,2941.156335
600023,comp_3,44.554048
600023,comp_4,21.010775
600023,comp_5,2.121288
600024,comp_0,-1.629532
600024,comp_1,-15.725003
600024,comp_2,2554.703998
600024,comp_3,39.670659
600024,comp_4,-0.883687
600024,comp_5,2.121288
600028,comp_0,25.424663
600028,comp_1,-2.505855
600028,comp_2,1889.018328
600028,comp_3,10.793569
600028,comp_4,53.283772
600028,comp_5,2.121288
600029,comp_0,36.682615
600029,comp_1,-7.902185
600029,comp_2,2668.513235
600029,comp_3,17.916724
600029,comp_4,57.973513
600029,comp_5,2.121288
600030,comp_0,16.418893
600030,comp_1,-9.881053
600030,comp_2,2246.058421
600030,comp_3,20.528831
600030,comp_4,22.940234
600030,comp_5,2.121288
600034,comp_0,0.937011
600034,comp_1,-2.379682
600034,comp_2,695.770811
600034,comp_3,-0.258881
600034,comp_4,3.629625
600034,comp_5,1.432502
600035,comp_0,0.486152
600035,comp_1,-2.454042
600035,comp_2,762.726136
600035,comp_3,-0.772082
600035,comp_4,1.868569
600035,comp_5,1.65292
600037,comp_0,7.783614
600037,comp_1,0.363603
600037,comp_2,538.649736
600037,comp_3,-4.42193
600037,comp_4,29.997587
600037,comp_5,2.121288
600038,comp_0,0.0
600038,comp_1,0.0
600038,comp_2,44.302103
600038,comp_3,0.0
600038,comp_4,0.0
600038,comp_5,0.0
600040,comp_0,1.381344
600040,comp_1,40.39188
600040,comp_2,70.387159
600040,comp_3,-159.951844
600040,comp_4,5.470123
600040,comp_5,12.059924
600041,comp_0,0.961673
600041,comp_1,1.378205
600041,comp_2,149.12369
600041,comp_3,-13.955139
600041,comp_4,3.662178
600041,comp_5,1.432502
600042,comp_0,0.974275
600042,comp_1,8.869498
600042,comp_2,212.860476
600042,comp_3,-118.342301
600042,comp_4,3.681908
600042,comp_5,12.059924
600043,comp_0,1.0234
600043,comp_1,30.365511
600043,comp_2,584.724993
600043,comp_3,-314.691874
600043,comp_4,3.925397
600043,comp_5,30.950015
600044,comp_0,0.102804
600044,comp_1,30.365511
600044,comp_2,536.692891
600044,comp_3,-314.691874
600044,comp_4,0.360062
600044,comp_5,30.950015
601000,comp_0,-9.232595
601000,comp_1,93.725081
601000,comp_2,-0.0
601000,comp_3,0.0
601000,comp_4,-0.0
601000,comp_5,1.618859
601001,comp_0,-12.753229
601001,comp_1,91.521424
601001,comp_2,-0.0
601001,comp_3,-0.0
601001,comp_4,-38.607785
601001,comp_5,1.618859
601002,comp_0,-1.098859
601002,comp_1,90.714565
601002,comp_2,-179.106386
601002,comp_3,1.740995
601002,comp_4,-9.862998
601002,comp_5,1.611356
601003,comp_0,0.066885
601003,comp_1,93.244441
601003,comp_2,-0.0
601003,comp_3,0.0
601003,comp_4,-0.0
601003,comp_5,1.611356
601004,comp_0,-2.821921
601004,comp_1,4.694131
601004,comp_2,-0.0
601004,comp_3,3.834924
601004,comp_4,-60.963276
601004,comp_5,0.099312
601005,comp_0,-0.0
601005,comp_1,-3.834924
601005,comp_2,60.963276
601005,comp_3,0.0
601005,comp_4,-20.147669
601005,comp_5,-5.84826
601006,comp_0,0.0
601006,comp_1,0.0
601006,comp_2,19.303893
601006,comp_3,0.0
601006,comp_4,-0.0
601006,comp_5,0.0
601007,comp_0,179.106386
601007,comp_1,-1.740995
601007,comp_2,9.862998
601007,comp_3,-8.196985
601007,comp_4,70.15176
601007,comp_5,-2.91931
601008,comp_0,-0.45004
601008,comp_1,-0.812109
601008,comp_2,77.663435
601008,comp_3,22.457493
601008,comp_4,-155.864005
601008,comp_5,0.875876
601009,comp_0,-10.712954
601009,comp_1,5.623676
601009,comp_2,0.45004
601009,comp_3,0.812109
601009,comp_4,-77.663435
601009,comp_5,0.099312
601010,comp_0,-26.095051
601010,comp_1,6.405483
601010,comp_2,0.0
601010,comp_3,-3.834924
601010,comp_4,-154.981677
601010,comp_5,0.099312
601011,comp_0,-13.189871
601011,comp_1,5.475938
601011,comp_2,-0.45004
601011,comp_3,-0.812109
601011,comp_4,-92.256846
601011,comp_5,0.099312
601012,comp_0,0.0
601012,comp_1,3.834924
601012,comp_2,154.981677
601012,comp_3,0.0
601012,comp_4,-20.147669
601012,comp_5,-5.84826
601013,comp_0,0.0
601013,comp_1,0.0
601013,comp_2,19.303893
601013,comp_3,0.0
601013,comp_4,-0.0
601013,comp_5,0.0
601014,comp_0,-179.106386
601014,comp_1,1.740995
601014,comp_2,33.588808
601014,comp_3,8.196985
601014,comp_4,-33.969899
601014,comp_5,-2.390725
601015,comp_0,0.45004
601015,comp_1,0.812109
601015,comp_2,92.256846
601015,comp_3,-22.457493
601015,comp_4,52.379312
601015,comp_5,-3.352809
601017,comp_0,0.403071
601017,comp_1,6.588152
601017,comp_2,179.106386
601017,comp_3,-1.740995
601017,comp_4,-33.588808
601017,comp_5,0.801367
601022,comp_0,-2.422965
601022,comp_1,4.597028
601022,comp_2,0.0
601022,comp_3,0.0
601022,comp_4,-0.0
601022,comp_5,0.801367
601023,comp_0,2.049345
601023,comp_1,1.719978
601023,comp_2,-0.0
601023,comp_3,-0.0
601023,comp_4,-0.0
601023,comp_5,0.801367
601024,comp_0,-1.182547
601024,comp_1,3.721478
601024,comp_2,-0.0
601024,comp_3,-0.0
601024,comp_4,0.0
601024,comp_5,0.801367
601028,comp_0,3.641803
601028,comp_1,7.49264
601028,comp_2,-0.0
601028,comp_3,-0.0
601028,comp_4,0.0
601028,comp_5,0.801367
601029,comp_0,17.79121
601029,comp_1,3.64262
601029,comp_2,0.0
601029,comp_3,-0.0
601029,comp_4,0.0
601029,comp_5,0.801367
601030,comp_0,9.441513
601030,comp_1,0.473824
601030,comp_2,-0.0
601030,comp_3,-0.0
601030,comp_4,0.0
601030,comp_5,0.801367
601034,comp_0,-0.846348
601034,comp_1,2.930483
601034,comp_2,0.0
601034,comp_3,0.0
601034,comp_4,-0.0
601034,comp_5,0.844848
601035,comp_0,-0.408931
601035,comp_1,3.263188
601035,comp_2,-0.0
601035,comp_3,-0.0
601035,comp_4,-0.0
601035,comp_5,0.62443
601037,comp_0,-6.606409
601037,comp_1,0.022496
601037,comp_2,-0.0
601037,comp_3,0.0
601037,comp_4,-0.0
601037,comp_5,0.801367
601040,comp_0,-1.381344
601040,comp_1,-40.39188
601040,comp_2,0.0
601040,comp_3,0.0
601040,comp_4,-0.0
601040,comp_5,-12.059924
601041,comp_0,-0.863092
601041,comp_1,-0.331102
601041,comp_2,0.0
601041,comp_3,0.0
601041,comp_4,0.0
601041,comp_5,0.541161
601042,comp_0,-0.898134
601042,comp_1,10.052211
601042,comp_2,-0.0
601042,comp_3,0.0
601042,comp_4,-0.0
601042,comp_5,4.555922
601043,comp_0,-0.854872
601043,comp_1,-4.210922
601043,comp_2,0.0
601043,comp_3,-0.0
601043,comp_4,0.0
601043,comp_5,11.6921
601044,comp_0,-0.060725
601044,comp_1,-4.210922
601044,comp_2,-0.0
601044,comp_3,-0.0
601044,comp_4,0.0
601044,comp_5,11.6921
602000,comp_0,-1.737384
602000,comp_1,24.752145
602000,comp_2,-0.0
602000,comp_3,0.0
602000,comp_4,0.0
602000,comp_5,-1.586794
602001,comp_0,1.823301
602001,comp_1,29.917111
602001,comp_2,0.0
602001,comp_3,0.0
602001,comp_4,-38.607785
602001,comp_5,-1.586794
602002,comp_0,0.534458
602002,comp_1,29.910774
602002,comp_2,-224.253608
602002,comp_3,2.227653
602002,comp_4,-3.018807
602002,comp_5,-1.57944
