fuente,nivel,losa_id,area_neta_fe_m2,area_neta_correlacion_m2,intensidad_kgf_m2,intensidad_kN_m2,receptor,pm_adic_aplicada_kN,pp_losa_kN,espesor_losa_m,control_no_doble_conteo
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,CP1S,L_EI_CP1S_D_INFERIOR_A,74.48,58.8265,259.984089,2.549573,losa FE / tributaria,189.8922,273.8997,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,CP1S,L_EI_CP1S_D_INFERIOR_B_SUPERIOR,90.6539,85.4539,259.99574,2.549687,losa FE / tributaria,231.1391,333.3792,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,CP1S,L_EI_CP1S_D_SUPERIOR,221.8966,221.8966,300.0,2.941995,losa FE / tributaria,652.8187,816.0234,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_INF_W_E,1.8125,1.8125,260.0,2.549729,losa FE / tributaria,4.6214,6.6655,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_INF_E_F,72.5,57.352,260.0,2.549729,losa FE / tributaria,184.8554,266.6183,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_INF_F_G,72.5,72.5,259.999641,2.549725,losa FE / tributaria,184.8551,266.6183,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_INF_G_H,72.5,72.5,260.0,2.549729,losa FE / tributaria,184.8554,266.6183,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_INF_H_I,73.5875,73.5875,260.0,2.549729,losa FE / tributaria,187.6282,270.6176,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_INF_I_Ip,37.7,37.7,260.0,2.549729,losa FE / tributaria,96.1248,138.6415,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_MED_W_E,2.225,2.225,260.0,2.549729,losa FE / tributaria,5.6731,8.1824,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_MED_E_F,89.0,83.8,260.0,2.549729,losa FE / tributaria,226.9259,327.2969,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_MED_F_G,89.0,89.0,260.0,2.549729,losa FE / tributaria,226.9259,327.2969,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_MED_G_H,89.0,89.0,260.0,2.549729,losa FE / tributaria,226.9259,327.2969,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_MED_H_I,92.365,92.365,260.0,2.549729,losa FE / tributaria,235.5057,339.6717,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_MED_I_Ip,47.32,47.32,260.0,2.549729,losa FE / tributaria,120.6532,174.019,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_SUP_OESTE_VOL,34.7875,34.7875,218.264147,2.14044,losa FE / tributaria,74.4606,127.9308,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_VOL_ESTE_OE,79.2228,79.2228,201.726548,1.978262,losa FE / tributaria,156.7234,291.3414,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_VOL_ESTE_ES,64.168,64.168,159.482577,1.56399,losa FE / tributaria,100.3581,235.9774,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P1,L_EI_CP1_D_ATRIO_ESTE,88.041,73.976,692.259652,6.788748,losa FE / tributaria,597.6881,323.7702,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_200,89.0,83.8,259.996587,2.549696,losa FE / tributaria,226.9229,327.2969,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_202,72.5,56.84,259.919951,2.548944,losa FE / tributaria,184.7984,266.6183,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_204,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_205,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_206,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_207,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_208,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_209,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_210,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_211,36.25,35.53,260.0,2.549729,losa FE / tributaria,92.4277,133.3091,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_212,15.95,15.95,260.0,2.549729,losa FE / tributaria,40.6682,58.656,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_213,20.3,20.3,260.0,2.549729,losa FE / tributaria,51.7595,74.6531,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_214,36.25,36.25,260.0,2.549729,losa FE / tributaria,92.4277,133.3091,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_215,36.25,36.25,260.0,2.549729,losa FE / tributaria,92.4277,133.3091,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_216,36.25,36.25,260.0,2.549729,losa FE / tributaria,92.4277,133.3091,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_217,36.25,36.25,260.0,2.549729,losa FE / tributaria,92.4277,133.3091,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_218,36.25,36.25,260.0,2.549729,losa FE / tributaria,92.4277,133.3091,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_219,27.504,27.504,260.0,2.549729,losa FE / tributaria,70.1277,101.1458,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_220,11.55,11.55,260.0,2.549729,losa FE / tributaria,29.4494,42.4751,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_221,11.55,11.55,260.0,2.549729,losa FE / tributaria,29.4494,42.4751,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_D_VOLADIZO_EXTERIOR_EJE_1,52.555,52.555,218.218704,2.139994,losa FE / tributaria,112.4674,193.2707,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_D_VOLADIZO_EXTERIOR_E,5.6525,5.6525,259.190447,2.54179,losa FE / tributaria,14.3675,20.787,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_D_VOLADIZO_EXTERIOR_EJE_3_OESTE,3.255,3.255,260.0,2.549729,losa FE / tributaria,8.2994,11.9702,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_D_VOLADIZO_EXTERIOR_EJE_3_ESTE_1,3.255,3.255,260.0,2.549729,losa FE / tributaria,8.2994,11.9702,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_D_VOLADIZO_EXTERIOR_EJE_3_ESTE_2,1.505,1.505,260.0,2.549729,losa FE / tributaria,3.8373,5.5346,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P2,L_EI_CP2_D_VOLADIZO_EXTERIOR_IP,5.6525,5.6525,259.967802,2.549413,losa FE / tributaria,14.4106,20.787,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P3,L_EI_CP3_304,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P3,L_EI_CP3_305,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P3,L_EI_CP3_306,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P3,L_EI_CP3_307,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P3,L_EI_CP3_308,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P3,L_EI_CP3_309,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
C:\Users\josef\OneDrive\Universidad\10mo Semestre\MCOC\Proyecto 1\P1\analisis_estructural\edificio_I\datos\casos_analisis\correlacion_cargas_validada_5niveles.json,P3,L_EI_CP3_310,44.5,44.5,260.0,2.549729,losa FE / tributaria,113.4629,163.6485,0.15,PP de losa y PM.ADIC separados (pp_losa_kN vs pm_adic_kn)
