id,nivel,tipo,seccion,area_m2,L_m,volumen_m3,pp_m_unit_kN_m,pp_potencial_kN,material_conocido,material_pendiente,motivo,estado,decision,documentos_revisados
H_EI_CP1S_y2732_0.200-21.600,CP1S,viga,V.S.I. 20/150,,21.4,,,,pendiente (V.S.I. no fija hormigon/acero),tipo+seccion,material/tipo no confirmado (el FE la asume metalica provisional 30x60; el plano 'V.S.I.' no fija hormigon/acero),PENDIENTE_SECCION,PENDIENTE_SECCION,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_18.96_14.79_base_P2,P2,columna metalica (tubular),P.M. 300x300x20,0.0224,,,1.7244,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_46.35_0.55_base_P3,P3,columna metalica (tubular),V.M. 300x300x5,0.0059,,,0.4542,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_46.36_9.32_base_P3,P3,columna metalica (tubular),V.M. 300x300x5,0.0059,,,0.4542,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_46.34_16.61_base_P3,P3,columna metalica (tubular),V.M. 300x300x5,0.0059,,,0.4542,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_48.68_0.55_base_P3,P3,columna metalica (tubular),V.M. 300x300x5,0.0059,,,0.4542,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_48.7_9.32_base_P3,P3,columna metalica (tubular),V.M. 300x300x5,0.0059,,,0.4542,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_48.9_16.61_base_P3,P3,columna metalica (tubular),V.M. 300x300x5,0.0059,,,0.4542,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_20.38_18.28_base_P3,P3,columna metalica (tubular),V.M. 300x300x5,0.0059,,,0.4542,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_30.4_18.37_base_P3,P3,columna metalica (tubular),V.M. 300x300x5,0.0059,,,0.4542,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
