edificio,nivel,z_m,PP_losas_kn,PM_ADIC_kn,PP_columnas_kn,PP_vigas_kn,PP_muros_kn,PP_elementos_kn,Q_kn,Q50_kn,W_A_kn,W_B_kn
EI,CP1S,-4.01,1423.302318,1073.850024,0,0,0,1049.69125,774.061044,387.030522,2860.02409,3933.874115
EI,P1,-0.05,3698.563197,2814.780062,0,0,0,3340.70955,2011.458589,1005.729295,8045.002041,10859.782103
EI,P2,3.91,3123.03434,2143.663658,0,0,0,4405.815,1698.458,849.229,8378.07834,10521.741997
EI,P3,7.87,3371.158521,2344.614015,0,0,0,4530.7615,1865.054001,932.527,8834.447021,11179.061036
EI,P4,11.83,3367.534351,1867.231158,0,0,0,3852.2488,1869.913002,934.956501,8154.739652,10021.97081
EII,EII_CP1S,-4.01,1952.827696,0.0,380.576085,2315.151571,871.174581,2941.026902,1062.042702,531.021351,5424.875949,5424.875949
EII,EII_CP1,-0.05,1952.827696,0.0,380.576085,2315.151571,798.311736,3530.470819,1062.042702,531.021351,6014.319866,6014.319866
EII,EII_CP2,3.91,1953.149476,0.0,380.576085,2324.860145,761.49197,3485.338089,1062.217701,531.108851,5969.596416,5969.596416
EII,EII_CP3,7.87,1952.827696,0.0,380.576085,2315.151571,761.49197,3457.21963,1062.042701,531.021351,5941.068677,5941.068677
EII,EII_CP4,11.83,1859.125762,0.0,0.0,2315.151571,0.0,2886.185599,1011.08303,505.541515,5250.852876,5250.852876
