edificio,nivel,z_m,PP_fiel_kN,Q_kN,W_kN,CM_W_x_m,CM_W_y_m
EI,sotano nucleo (z -7.01),-7.01,172.7773,52.2101,198.8824,10.899394,-10.819
EI,CP1S,-4.01,3374.0663,721.8509,3734.9918,7.415598,1.99845
EI,P1,-0.05,9854.0528,2011.4586,10859.7821,25.840775,7.975636
EI,P2,3.91,9672.513,1698.458,10521.742,22.493128,8.264426
EI,P3,7.87,10246.534,1865.054,11179.061,25.094627,8.233534
EI,P4,11.83,9087.0143,1869.913,10021.9708,25.622269,8.248337
EII,EII_CP1S,-4.01,4893.8546,1062.0427,5424.8759,10.503962,7.851121
EII,EII_CP1,-0.05,5483.2985,1062.0427,6014.3198,10.516022,7.93752
EII,EII_CP2,3.91,5438.4876,1062.2177,5969.5965,10.414114,7.99942
EII,EII_CP3,7.87,5410.0473,1062.0427,5941.0687,10.335359,8.010607
EII,EII_CP4,11.83,4745.3114,1011.083,5250.8529,10.271502,7.938049
