edificio,nivel,z_m,G_kN,Q_kN,W_A_kN,W_B_kN,masa_A_Mg,masa_B_Mg,CM_A_x_m,CM_A_y_m,CM_B_x_m,CM_B_y_m
EI,sotano nucleo (z -7.01),-7.01,172.777279,52.210102,122.106213,198.88233,12.4514,20.2804,10.897991,-10.819,10.899394,-10.819
EI,CP1S,-4.01,3374.066314,721.850942,2737.917877,3734.991785,279.1899,380.8632,7.138383,2.81203,7.415598,1.99845
EI,P1,-0.05,9854.052809,2011.458589,8045.002041,10859.782103,820.3619,1107.3896,25.034503,8.395304,25.840775,7.975636
EI,P2,3.91,9672.512997,1698.458,8378.07834,10521.741997,854.3262,1072.9191,22.548526,8.24796,22.493128,8.264426
EI,P3,7.87,10246.534035,1865.054001,8834.447021,11179.061036,900.8629,1139.947,25.149932,8.219448,25.094627,8.233534
EI,P4,11.83,9087.014309,1869.913002,8154.739652,10021.97081,831.552,1021.9566,25.907385,8.258956,25.622269,8.248337
EII,EII_CP1S,-4.01,4893.854598,1062.042702,5424.875949,5424.875949,553.1834,553.1834,10.503963,7.851121,10.503963,7.851121
EII,EII_CP1,-0.05,5483.298515,1062.042702,6014.319866,6014.319866,613.2899,613.2899,10.516022,7.937521,10.516022,7.937521
EII,EII_CP2,3.91,5438.487565,1062.217701,5969.596416,5969.596416,608.7294,608.7294,10.414114,7.999419,10.414114,7.999419
EII,EII_CP3,7.87,5410.047326,1062.042701,5941.068677,5941.068677,605.8204,605.8204,10.335359,8.010607,10.335359,8.010607
EII,EII_CP4,11.83,4745.311361,1011.08303,5250.852876,5250.852876,535.438,535.438,10.271502,7.938049,10.271502,7.938049
