#,categoria,simbolo_seccion,id,nivel,tipo,pp_m_unit_kN_m,L_m,pp_kN,continuacion,estado,motivo
1,C4_metalico_tubular_confirmado,P.M. 300x300x20,col_18.96_14.79_base_P2,P2,columna_metalica,1.7244,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
2,C4_metalico_tubular_confirmado,V.M. 300x300x5,col_46.35_0.55_base_P3,P3,columna_metalica,0.4542,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
3,C4_metalico_tubular_confirmado,V.M. 300x300x5,col_46.36_9.32_base_P3,P3,columna_metalica,0.4542,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
4,C4_metalico_tubular_confirmado,V.M. 300x300x5,col_46.34_16.61_base_P3,P3,columna_metalica,0.4542,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
5,C4_metalico_tubular_confirmado,V.M. 300x300x5,col_48.68_0.55_base_P3,P3,columna_metalica,0.4542,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
6,C4_metalico_tubular_confirmado,V.M. 300x300x5,col_48.7_9.32_base_P3,P3,columna_metalica,0.4542,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
7,C4_metalico_tubular_confirmado,V.M. 300x300x5,col_48.9_16.61_base_P3,P3,columna_metalica,0.4542,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
8,C4_metalico_tubular_confirmado,V.M. 300x300x5,col_20.38_18.28_base_P3,P3,columna_metalica,0.4542,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
9,C4_metalico_tubular_confirmado,V.M. 300x300x5,col_30.4_18.37_base_P3,P3,columna_metalica,0.4542,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
10,C1_real_FE_seccion_pendiente,P.M.I.,col_47.78_-0.6_base_P3,P3,columna_metalica,,,,,PENDIENTE_SECCION,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA)
11,C1_real_FE_seccion_pendiente,P.M.I.,col_47.89_8.3_base_P3,P3,columna_metalica,,,,,PENDIENTE_SECCION,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA)
12,C1_real_FE_seccion_pendiente,P.M.I.,col_47.82_15.51_base_P3,P3,columna_metalica,,,,,PENDIENTE_SECCION,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA)
13,C1_real_FE_seccion_pendiente,P.M.I.,col_50.58_-0.6_base_P3,P3,columna_metalica,,,,,PENDIENTE_SECCION,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA)
14,C1_real_FE_seccion_pendiente,P.M.I.,col_50.82_8.61_base_P3,P3,columna_metalica,,,,,PENDIENTE_SECCION,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA)
15,C1_real_FE_seccion_pendiente,P.M.I.,col_50.71_15.85_base_P3,P3,columna_metalica,,,,,PENDIENTE_SECCION,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA)
16,C1_real_FE_seccion_pendiente,P.M.I.,col_20.5_20.72_base_P3,P3,columna_metalica,,,,,PENDIENTE_SECCION,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA)
17,C1_real_FE_seccion_pendiente,P.M.I.,col_30.51_20.66_base_P3,P3,columna_metalica,,,,,PENDIENTE_SECCION,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA)
18,C4_metalico_tubular_confirmado,P.M. 300x300x20,col_45.97_1.36_base_P4,P4,columna_metalica,1.7244,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
19,C4_metalico_tubular_confirmado,P.M. 300x300x20,col_48.77_7.46_base_P4,P4,columna_metalica,1.7244,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
20,C4_metalico_tubular_confirmado,P.M. 300x300x20,col_51.97_8.12_base_P4,P4,columna_metalica,1.7244,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
21,C4_metalico_tubular_confirmado,P.M. 300x300x20,col_52.11_15.23_base_P4,P4,columna_metalica,1.7244,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
22,C4_metalico_tubular_confirmado,P.M. 300x300x20,col_48.73_17.3_base_P4,P4,columna_metalica,1.7244,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
