nivel,receptor,area_celdas_m2,area_por_viga_m2,diff_m2,n_celdas
CP1S,H_EI_CP1S_y0760_0.200-10.000,20.0122,20.013,0.0008000000000016882,317
CP1S,V_EI_CP1S_x0060_0.700-16.150,27.1018,27.102,0.00019999999999953388,429
CP1S,M_EI_CP1S_001,25.0214,25.022,0.0005999999999986017,393
CP1S,H_EI_CP1S_y0000_0.200-10.000,2.4191,2.419,9.999999999976694e-05,38
CP1S,H_EI_CP1S_y0601_0.700-10.000,13.6232,13.623,0.00020000000000131024,214
CP1S,M_EI_CP1S_004,14.9601,14.96,9.999999999976694e-05,235
CP1S,M_EI_CP1S_005,15.915,15.915,0.0,250
CP1S,M_EI_CP1S_003,20.6547,20.655,0.00030000000000285354,327
CP1S,H_EI_CP1S_y1695_0.200-21.600,87.9596,87.962,0.0024000000000086175,1382
CP1S,H_EI_CP1S_y1625_0.700-10.000,17.4011,17.402,0.0009000000000014552,277
CP1S,M_EI_CP1S_006,15.014,15.015,0.0010000000000012221,239
CP1S,M_EI_CP1S_007,15.5165,15.517,0.0004999999999988347,247
CP1S,H_EI_CP1S_y2732_0.200-21.600,84.2354,84.238,0.002600000000001046,1323
CP1S,M_EI_CP1S_002,27.1871,27.188,0.0008999999999979025,427
P1,GV_CP1_G2,203.478,203.48,0.001999999999981128,3212
P1,V_COL_CP1_E,36.7591,36.76,0.0009000000000014552,582
P1,GV_CP1_G3,102.9575,102.957,0.0005000000000023874,1638
P1,V_COL_CP1_F,65.6934,65.694,0.0006000000000057071,1040
P1,V_COL_CP1_G,65.6934,65.694,0.0006000000000057071,1040
P1,V_COL_CP1_H,64.9719,64.972,9.99999999891088e-05,1023
P1,V_COL_CP1_I,51.5884,51.589,0.0005999999999986017,801
P1,M_EI_CP1_002,154.5062,154.506,0.0002000000000066393,2376
P1,V_COL_CP1_Ip,34.6039,34.605,0.0010999999999938836,529
P1,GV_CP1_G1_oeste,106.1106,106.115,0.0043999999999897454,1606
P1,GV_CP1_GE_este,31.3158,31.317,0.001200000000000756,486
P1,M_EI_CP1_004,68.4574,68.455,0.0024000000000086175,1073
P1,M_EI_CP1_003,19.5866,19.586,0.0006000000000021544,307
P2,V_EI_CP2_x0.00_0-16.15,25.6026,25.603,0.0004000000000026205,375
P2,M_EI_CP2_003,19.8974,19.898,0.0005999999999986017,313
P2,H_EI_CP2_y0000_0.00-10.00,27.6045,27.605,0.0004999999999988347,412
P2,H_EI_CP2_y0089_0.00-10.00,27.3453,27.346,0.0006999999999983686,426
P2,M_EI_CP2_001,8.3912,8.391,0.00019999999999953388,132
P2,M_EI_CP2_002,9.2177,9.218,0.0002999999999993008,145
P2,V_EI_CP2_x10.00_0-16.15,52.0826,52.084,0.0014000000000038426,813
P2,H_EI_CP2_y0162_0.00-10.00,13.3528,13.353,0.00019999999999953388,193
P2,M_EI_CP2_004,10.6157,10.616,0.0002999999999993008,164
P2,M_EI_CP2_006,6.3435,6.344,0.0005000000000006111,98
P2,M_EI_CP2_005,10.6157,10.616,0.0002999999999993008,164
P2,H_EI_CP2_y0000_10.00-15.00,11.4965,11.497,0.0005000000000006111,170
P2,H_EI_CP2_y0089_10.00-15.00,11.547,11.547,0.0,180
P2,V_EI_CP2_x15.00_0-16.15,51.9064,51.907,0.0005999999999986017,802
P2,H_EI_CP2_y0000_15.00-20.00,11.4965,11.497,0.0005000000000006111,170
P2,H_EI_CP2_y0089_15.00-17.20,3.7127,3.713,0.000300000000000189,56
P2,H_EI_CP2_y0089_17.20-20.00,5.0805,5.081,0.0005000000000006111,79
P2,V_EI_CP2_x20.00_0-16.15,54.4507,54.452,0.001300000000000523,848
P2,H_EI_CP2_y0000_20.00-25.00,11.4965,11.497,0.0005000000000006111,170
P2,H_EI_CP2_y0089_20.00-25.00,11.547,11.547,0.0,180
P2,V_EI_CP2_x25.00_0-16.15,57.6538,57.655,0.0012000000000043087,900
P2,H_EI_CP2_y0000_25.00-30.00,11.4965,11.497,0.0005000000000006111,170
P2,H_EI_CP2_y0089_25.00-30.00,11.547,11.547,0.0,180
P2,V_EI_CP2_x30.00_0-16.15,57.6538,57.655,0.0012000000000043087,900
P2,H_EI_CP2_y0000_30.00-35.00,11.4965,11.497,0.0005000000000006111,170
P2,H_EI_CP2_y0089_30.00-35.00,11.547,11.547,0.0,180
P2,V_EI_CP2_x35.00_0-16.15,57.6538,57.655,0.0012000000000043087,900
P2,H_EI_CP2_y0000_35.00-40.00,11.4965,11.497,0.0005000000000006111,170
P2,H_EI_CP2_y0089_35.00-40.00,11.547,11.547,0.0,180
P2,V_EI_CP2_x40.00_0-16.15,57.6538,57.655,0.0012000000000043087,900
P2,H_EI_CP2_y0000_40.00-45.00,11.7853,11.785,0.0002999999999993008,174
P2,H_EI_CP2_y0089_40.00-45.00,11.547,11.547,0.0,180
P2,V_EI_CP2_x45.00_0-16.15,34.4794,34.48,0.0005999999999986017,514
P2,H_EI_CP2_y0162_10.00-15.00,24.4904,24.489,0.00140000000000029,375
P2,H_EI_CP2_y0162_15.00-17.20,10.2653,10.265,0.0002999999999993008,155
P2,V_EI_CP2_x17.20_890-1615,14.4605,14.46,0.0004999999999988347,212
P2,H_EI_CP2_y0162_17.20-20.00,1.6477,1.648,0.00029999999999996696,25
P2,H_EI_CP2_y0162_20.00-25.00,17.3763,17.376,0.0002999999999993008,270
P2,H_EI_CP2_y0162_25.00-30.00,17.3763,17.376,0.0002999999999993008,270
P2,H_EI_CP2_y0162_30.00-35.00,7.4971,7.497,9.999999999976694e-05,109
P2,H_EI_CP2_y0162_35.00-40.00,7.4092,7.409,0.00020000000000042206,108
P2,H_EI_CP2_y0162_40.00-45.00,7.3307,7.331,0.000300000000000189,107
P3,V_EI_CP3_x10.00_0-16.15,46.3988,46.399,0.00019999999999953388,716
P3,H_EI_CP3_y0000_10.00-15.00,11.4715,11.471,0.0005000000000006111,170
P3,H_EI_CP3_y0089_10.00-12.20,3.7127,3.713,0.000300000000000189,56
P3,H_EI_CP3_y0089_12.20-15.00,5.0805,5.081,0.0005000000000006111,79
P3,V_EI_CP3_x15.00_0-16.15,54.4507,54.452,0.001300000000000523,848
P3,H_EI_CP3_y0000_15.00-20.00,11.4715,11.471,0.0005000000000006111,170
P3,H_EI_CP3_y0089_15.00-20.00,11.547,11.547,0.0,180
P3,V_EI_CP3_x20.00_0-16.15,57.6538,57.655,0.0012000000000043087,900
P3,H_EI_CP3_y0000_20.00-25.00,11.4715,11.471,0.0005000000000006111,170
P3,H_EI_CP3_y0089_20.00-25.00,11.547,11.547,0.0,180
P3,V_EI_CP3_x25.00_0-16.15,57.6538,57.655,0.0012000000000043087,900
P3,H_EI_CP3_y0000_25.00-30.00,11.4715,11.471,0.0005000000000006111,170
P3,H_EI_CP3_y0089_25.00-30.00,11.547,11.547,0.0,180
